Country,MarketSegment,ArrivalDateMonth,DepositType,CustomerType,LeadTime,ArrivalDateYear,ArrivalDateWeekNumber,ArrivalDateDayOfMonth,RequiredCarParkingSpaces,IsCanceled
GBR,Offline TA/TO,August,No Deposit     ,Contract,211,2017,35,31,0,0
DEU,Offline TA/TO,August,No Deposit     ,Transient,161,2017,35,31,0,0
IRL,Direct,August,No Deposit     ,Transient,204,2017,35,29,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,269,2017,34,24,0,0
GBR,Offline TA/TO,August,No Deposit     ,Transient,212,2017,35,31,0,0
IRL,Direct,August,No Deposit     ,Transient-Party,169,2017,35,30,0,0
IRL,Direct,August,No Deposit     ,Transient-Party,169,2017,35,30,0,0
PRT,Offline TA/TO,August,No Deposit     ,Transient-Party,173,2017,35,27,0,0
PRT,Offline TA/TO,August,No Deposit     ,Group,173,2017,35,27,0,0
NLD,Offline TA/TO,August,No Deposit     ,Transient,264,2017,34,26,0,0
GBR,Offline TA/TO,August,No Deposit     ,Transient,207,2017,34,26,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,217,2017,35,31,0,0
ESP,Online TA,August,No Deposit     ,Transient,239,2017,35,29,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,214,2017,35,29,0,0
IRL,Offline TA/TO,August,No Deposit     ,Transient,210,2017,34,25,0,0
DEU,Offline TA/TO,August,No Deposit     ,Transient,208,2017,34,26,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,270,2017,34,25,0,0
GBR,Offline TA/TO,August,No Deposit     ,Transient,301,2017,35,31,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,191,2017,35,31,0,0
BEL,Offline TA/TO,August,No Deposit     ,Group,135,2017,35,30,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,379,2017,34,24,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,279,2017,35,31,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,21,2017,35,31,0,0
CN,Online TA,August,No Deposit     ,Transient,227,2017,35,31,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,279,2017,35,31,0,0
IRL,Direct,August,No Deposit     ,Transient,151,2017,35,31,0,0
GBR,Direct,August,No Deposit     ,Transient,210,2017,35,31,0,0
ITA,Online TA,August,No Deposit     ,Transient,194,2017,35,31,1,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,379,2017,34,24,0,0
GBR,Online TA,August,No Deposit     ,Transient,108,2017,35,31,0,0
CN,Online TA,August,No Deposit     ,Transient,227,2017,35,31,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,21,2017,35,31,0,0
IRL,Online TA,August,No Deposit     ,Transient,50,2017,35,30,0,0
GBR,Online TA,August,No Deposit     ,Transient,58,2017,35,30,0,0
PRT,Direct,August,No Deposit     ,Transient,206,2017,35,31,1,0
IRL,Online TA,August,No Deposit     ,Transient,305,2017,34,26,0,0
PRT,Online TA,August,No Deposit     ,Transient,25,2017,35,30,1,0
DEU,Offline TA/TO,August,No Deposit     ,Transient,191,2017,35,28,0,0
GBR,Online TA,August,No Deposit     ,Transient,172,2017,35,28,0,0
IRL,Offline TA/TO,August,No Deposit     ,Transient,138,2017,35,30,0,0
PRT,Online TA,August,No Deposit     ,Transient,41,2017,35,29,0,0
PRT,Online TA,August,No Deposit     ,Transient,161,2017,35,30,0,0
PRT,Offline TA/TO,August,No Deposit     ,Transient,43,2017,35,31,0,0
GBR,Offline TA/TO,August,No Deposit     ,Group,20,2017,35,30,0,0
PRT,Direct,August,No Deposit     ,Transient,88,2017,34,26,0,0
ESP,Online TA,August,No Deposit     ,Transient,87,2017,35,30,0,0
PRT,Online TA,August,No Deposit     ,Transient,0,2017,35,29,1,0
GBR,Online TA,August,No Deposit     ,Transient,64,2017,35,31,0,0
ESP,Offline TA/TO,August,No Deposit     ,Transient,97,2017,35,27,0,0
GBR,Online TA,August,No Deposit     ,Transient,30,2017,35,29,0,0
ROU,Offline TA/TO,August,No Deposit     ,Transient-Party,21,2017,35,28,0,0
GBR,Online TA,August,No Deposit     ,Transient,30,2017,35,31,0,0
ROU,Offline TA/TO,August,No Deposit     ,Transient-Party,293,2017,35,29,0,0
GBR,Offline TA/TO,August,No Deposit     ,Transient,229,2017,35,27,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,137,2017,34,26,0,0
ROU,Offline TA/TO,August,No Deposit     ,Transient-Party,292,2017,35,28,0,0
IRL,Online TA,August,No Deposit     ,Transient,6,2017,35,29,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,137,2017,34,26,0,0
GBR,Online TA,August,No Deposit     ,Transient,48,2017,35,29,0,0
BEL,Offline TA/TO,August,No Deposit     ,Transient,34,2017,35,29,0,0
PRT,Online TA,August,No Deposit     ,Transient,33,2017,35,31,0,0
ITA,Offline TA/TO,August,No Deposit     ,Transient,117,2017,35,29,1,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,51,2017,35,31,0,0
GBR,Offline TA/TO,August,No Deposit     ,Transient,19,2017,35,29,0,0
PRT,Direct,August,No Deposit     ,Transient,153,2017,35,28,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,42,2017,35,28,0,0
DEU,Offline TA/TO,August,No Deposit     ,Transient,161,2017,34,23,0,0
IRL,Online TA,August,No Deposit     ,Transient,73,2017,35,28,0,0
ESP,Online TA,August,No Deposit     ,Transient,7,2017,35,30,1,0
CHE,Direct,August,No Deposit     ,Transient,27,2017,35,28,0,0
PRT,Direct,August,No Deposit     ,Transient,6,2017,35,31,0,0
GBR,Offline TA/TO,August,No Deposit     ,Transient,61,2017,35,28,0,0
PRT,Direct,August,No Deposit     ,Transient,153,2017,35,28,0,0
PRT,Direct,August,No Deposit     ,Transient,153,2017,35,28,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,34,2017,35,28,0,0
CN,Online TA,August,No Deposit     ,Transient,46,2017,35,31,0,0
ROU,Offline TA/TO,August,No Deposit     ,Transient,95,2017,35,28,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,111,2017,35,27,0,0
PRT,Online TA,August,No Deposit     ,Transient,51,2017,35,28,1,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,97,2017,35,27,0,0
PRT,Online TA,August,No Deposit     ,Transient,15,2017,35,30,0,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,63,2017,35,28,0,0
PRT,Offline TA/TO,August,No Deposit     ,Transient,171,2017,35,27,1,0
GBR,Offline TA/TO,August,No Deposit     ,Group,18,2017,35,28,0,0
PRT,Offline TA/TO,August,No Deposit     ,Transient,171,2017,35,27,0,0
GBR,Offline TA/TO,August,No Deposit     ,Group,81,2017,35,27,0,0
PRT,Direct,August,No Deposit     ,Transient,2,2017,35,31,0,0
PRT,Direct,August,No Deposit     ,Transient,193,2017,35,28,1,0
ESP,Online TA,August,No Deposit     ,Transient-Party,17,2017,35,31,0,0
ESP,Online TA,August,No Deposit     ,Transient,9,2017,35,28,0,0
PRT,Online TA,August,No Deposit     ,Transient,15,2017,35,30,1,0
GBR,Offline TA/TO,August,No Deposit     ,Contract,97,2017,35,27,0,0
PRT,Direct,August,No Deposit     ,Transient-Party,2,2017,35,31,0,0
PRT,Offline TA/TO,August,No Deposit     ,Transient,151,2017,35,27,0,0
PRT,Online TA,August,No Deposit     ,Transient,178,2017,35,27,1,0
DEU,Online TA,August,No Deposit     ,Transient,3,2017,35,31,1,0
PRT,Online TA,August,No Deposit     ,Transient,43,2017,35,30,0,0
IRL,Online TA,August,No Deposit     ,Transient,38,2017,35,27,0,0
PRT,Direct,August,No Deposit     ,Transient-Party,2,2017,35,31,1,0
USA,Direct,August,No Deposit     ,Transient,126,2017,35,29,1,0
ESP,Online TA,August,No Deposit     ,Transient-Party,17,2017,35,31,0,0
ESP,Online TA,August,No Deposit     ,Transient,19,2017,35,31,0,0
PRT,Online TA,August,No Deposit     ,Transient,95,2017,35,27,1,0
IRL,Online TA,August,No Deposit     ,Transient,202,2017,35,27,0,0
GBR,Online TA,August,No Deposit     ,Transient,202,2017,35,27,0,0
ESP,Online TA,August,No Deposit     ,Transient,13,2017,35,28,1,0
PRT,Online TA,August,No Deposit     ,Transient,50,2017,35,28,0,0
PRT,Direct,August,No Deposit     ,Transient,33,2017,35,27,0,0
CN,Online TA,August,No Deposit     ,Transient,5,2017,35,28,0,0
USA,Online TA,August,No Deposit     ,Transient,45,2017,35,31,0,0
TUR,Online TA,August,No Deposit     ,Transient,30,2017,35,31,0,0
SVK,Online TA,August,No Deposit     ,Transient,74,2017,35,28,1,0
BGR,Online TA,August,No Deposit     ,Transient,59,2017,35,27,0,0
